"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy for Jewish Religion-California","574 Hilgard Avenue, Los Angeles, California 90024","www.ajrca.edu","4-year, Private not-for-profit","Master's degree","City: Large","No","54","","NA","NA","Fall 2012","NA","-","457271","04155500"
"Academy of Chinese Culture and Health Sciences","1600 Broadway, Ste. 200, Oakland, California 94612","www.acchs.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship","City: Large","No","103","","NA","NA","Fall 2012","NA","-","108269","03288300"
"Acupuncture and Integrative Medicine College-Berkeley","2550 Shattuck Avenue, Berkeley, California 94704","https://www.aimc.edu","4-year, Private not-for-profit","Master's degree","City: Midsize","No","90","","NA","NA","Fall 2012","NA","-","384306","03327400"
"Adams State University","208 Edgemont Blvd, Alamosa, Colorado 81101","www.adams.edu","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Town: Remote","Yes","3110","1997","27%","21%","Fall 2012","$13,314","-","126182","00134500"
"Alabama A & M University","4900 Meridian Street, Normal, Alabama 35762","www.aamu.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","6106","5143","27%","42%","Fall 2012","$13,956","-","100654","00100200"
"Alabama College of Osteopathic Medicine","445 Health Sciences Boulevard, Dothan, Alabama 36303-2251","https://www.acom.edu","4-year, Private not-for-profit","Doctor's degree - professional practice","Rural: Fringe","No","654","","NA","NA","Fall 2012","NA","-","483975","04226700"
"Alabama State University","915 S Jackson Street, Montgomery, Alabama 36104-0271","www.alasu.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","4413","3903","30%","37%","Fall 2012","$13,029","-","100724","00100500"
"Alaska Bible College","248 E Elmwood Ave, Palmer, Alaska 99645","www.akbible.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Town: Distant","Yes","45","45","38%","13%","Fall 2012","$19,746","-","102580","00884300"
"Alaska Pacific University","4101 University Dr, Anchorage, Alaska 99508","www.alaskapacific.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","502","301","56%","19%","Fall 2012","$18,932","-","102669","00106100"
"Albertus Magnus College","700 Prospect St, New Haven, Connecticut 06511-1189","www.albertus.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","1456","1116","72%","NA","Fall 2012","$24,652","-","128498","00137400"
